Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,106.82,107.290001,105.839996,106.809998,106.809998,1121900
2017-09-06,107.470001,107.690002,106.32,106.339996,106.339996,1246800
2017-09-07,106.709999,107.389999,106.139999,107.040001,107.040001,1881200
2017-09-08,107.209999,107.980003,106.940002,107.120003,107.120003,1111300
2017-09-11,107.900002,108.129997,107.360001,107.620003,107.620003,1412600
2017-09-12,107.709999,107.989998,106.389999,107.660004,107.660004,1096100
2017-09-13,107.599998,108.050003,106.989998,107.83000200000001,107.83000200000001,863100
2017-09-14,107.41999799999999,107.860001,106.879997,107.739998,107.739998,929100
2017-09-15,107.769997,107.769997,106.660004,107.300003,107.300003,1208900
2017-09-18,107.83000200000001,108.389999,107.290001,107.440002,107.440002,1173000
2017-09-19,107.82,107.839996,106.529999,107.139999,107.139999,1981900
2017-09-20,107.239998,107.449997,106.239998,106.989998,106.989998,1809800
2017-09-21,107.349998,107.349998,106.07,106.839996,106.839996,1472800
2017-09-22,106.860001,107.41999799999999,105.790001,106.300003,106.300003,1899600
2017-09-25,106.730003,107.129997,104.510002,105.760002,105.760002,4823600
2017-09-26,111.279999,113.730003,107.25,110.07,110.07,6247700
2017-09-27,110.650002,111.230003,109.800003,109.91999799999999,109.91999799999999,2220300
2017-09-28,109.480003,110.370003,109.33000200000001,109.589996,109.589996,1313100
2017-09-29,109.800003,110.93,109.57,110.860001,110.860001,1587700
2017-10-02,111.220001,112.66999799999999,110.41999799999999,112.18,112.18,2791200
2017-10-03,112.190002,112.910004,111.779999,111.93,111.93,1183100
2017-10-04,111.889999,113.019997,111.370003,112.739998,112.739998,1202000
2017-10-05,113.150002,115.620003,112.660004,115.519997,115.519997,2201300
2017-10-06,115.160004,117.220001,114.43,117.059998,117.059998,2041500
2017-10-09,117.0,117.970001,116.900002,117.07,117.07,1707600
2017-10-10,117.290001,118.360001,116.93,118.349998,118.349998,1475300
2017-10-11,118.0,119.370003,117.809998,119.370003,119.370003,1490500
2017-10-12,119.309998,121.220001,119.290001,120.910004,120.910004,3081400
2017-10-13,121.349998,122.309998,120.870003,121.099998,121.099998,1553100
2017-10-16,121.129997,121.230003,120.160004,120.889999,120.889999,1016000
2017-10-17,120.360001,121.120003,120.08000200000001,121.120003,121.120003,1198200
2017-10-18,121.18,121.269997,120.110001,120.690002,120.690002,1074400
2017-10-19,120.0,121.66999799999999,118.68,121.599998,121.599998,1233400
2017-10-20,121.970001,122.360001,121.349998,121.800003,121.800003,1394200
2017-10-23,122.209999,122.949997,122.010002,122.129997,122.129997,1082900
2017-10-24,120.099998,121.739998,119.16999799999999,121.279999,121.279999,1680500
2017-10-25,120.93,121.639999,119.68,120.220001,120.220001,1542400
2017-10-26,120.57,121.150002,119.910004,120.290001,120.290001,1507400
2017-10-27,120.779999,121.379997,120.0,120.769997,120.769997,1049500
2017-10-30,120.440002,121.239998,119.720001,121.099998,121.099998,1075300
2017-10-31,121.339996,121.660004,120.410004,120.83000200000001,120.83000200000001,1034800
2017-11-01,121.300003,121.639999,120.160004,121.260002,121.260002,1197400
2017-11-02,121.029999,121.599998,120.379997,120.989998,120.989998,929000
2017-11-03,120.809998,121.639999,120.800003,121.639999,121.639999,866100
2017-11-06,121.699997,122.199997,121.010002,121.08000200000001,121.08000200000001,962900
2017-11-07,121.489998,122.41999799999999,120.870003,121.91999799999999,121.91999799999999,1064700
2017-11-08,121.779999,124.449997,121.58000200000001,123.91999799999999,123.91999799999999,1388500
2017-11-09,123.099998,123.709999,121.699997,123.5,123.5,1664600
2017-11-10,123.050003,124.559998,122.849998,124.18,124.18,1141800
2017-11-13,123.940002,124.209999,123.110001,123.989998,123.989998,1178200
2017-11-14,123.699997,124.529999,123.290001,124.489998,124.489998,1100000
2017-11-15,124.129997,124.239998,122.970001,123.82,123.82,970900
2017-11-16,124.900002,126.66999799999999,124.389999,126.629997,126.629997,2357600
2017-11-17,126.199997,126.459999,125.07,125.949997,125.949997,1376300
2017-11-20,126.389999,127.08000200000001,125.879997,127.0,127.0,966100
2017-11-21,127.739998,129.229996,127.32,128.509995,128.509995,1174400
2017-11-22,128.320007,128.320007,126.339996,126.589996,126.589996,832200
2017-11-24,127.269997,128.360001,127.019997,128.360001,128.360001,480500
2017-11-27,128.779999,129.110001,127.459999,128.199997,128.199997,1058000
2017-11-28,128.71000700000002,129.610001,128.25,129.240005,129.240005,1212400
2017-11-29,129.0,129.009995,122.32,124.489998,124.489998,2166200
2017-11-30,125.360001,126.970001,124.629997,126.760002,126.760002,1842200
2017-12-01,126.129997,126.769997,123.08000200000001,125.260002,125.260002,1433000
2017-12-04,126.459999,126.480003,120.279999,120.309998,120.309998,2779000
2017-12-05,119.650002,123.099998,117.760002,120.870003,120.870003,2263000
2017-12-06,120.889999,122.160004,120.099998,121.940002,121.940002,1988100
2017-12-07,122.0,124.400002,121.949997,123.800003,123.800003,1153900
2017-12-08,124.57,125.540001,124.16999799999999,125.290001,125.290001,1107800
2017-12-11,125.370003,126.93,125.339996,126.620003,126.620003,1654300
2017-12-12,126.33000200000001,127.08000200000001,125.160004,125.75,125.75,1202500
2017-12-13,126.209999,127.949997,125.849998,126.489998,126.489998,1383700
2017-12-14,126.75,127.120003,125.589996,126.129997,126.129997,1287700
2017-12-15,127.160004,129.169998,126.389999,128.779999,128.779999,2185400
2017-12-18,129.979996,130.929993,128.520004,129.440002,129.440002,1919300
2017-12-19,129.559998,129.979996,127.459999,128.860001,128.860001,2600400
2017-12-20,125.209999,125.599998,120.099998,122.0,122.0,7093400
2017-12-21,122.489998,123.360001,122.260002,123.129997,123.129997,3253400
2017-12-22,123.0,123.139999,122.370003,122.91999799999999,122.91999799999999,1399000
2017-12-26,122.269997,122.57,120.519997,120.610001,120.610001,1242800
2017-12-27,120.730003,121.879997,120.510002,121.220001,121.220001,1289500
2017-12-28,121.709999,121.709999,120.32,121.129997,121.129997,1334900
2017-12-29,120.860001,121.199997,120.07,120.099998,120.099998,1264400
2018-01-02,121.040001,121.16999799999999,119.57,121.040001,121.040001,2361100
2018-01-03,121.120003,123.199997,121.059998,123.059998,123.059998,1828600
2018-01-04,123.32,125.120003,123.199997,123.980003,123.980003,1708100
2018-01-05,124.860001,125.150002,123.889999,124.139999,124.139999,1388500
2018-01-08,123.739998,125.459999,123.269997,125.209999,125.209999,1401800
2018-01-09,125.650002,125.889999,123.5,124.150002,124.150002,1147300
